vocabulary_id,concept_id,lang_code,word,article,pronunciation,level,created_at
1,1,af,wees,null,null,A,2026-02-19 20:40:31.084756+00
2,1,sq,jam,null,null,A,2026-02-19 20:40:31.084756+00
3,1,am,መሆን,null,məhon,A,2026-02-19 20:40:31.084756+00
4,1,ar-EG,يكون,null,yikūn,A,2026-02-19 20:40:31.084756+00
5,1,ar-AE,يكون,null,yakūn,A,2026-02-19 20:40:31.084756+00
6,1,ar-IQ,يكون,null,yikūn,A,2026-02-19 20:40:31.084756+00
7,1,ar-LB,يكون,null,bikūn,A,2026-02-19 20:40:31.084756+00
8,1,ar-MA,يكون,null,yakun,A,2026-02-19 20:40:31.084756+00
9,1,ar,يكون,null,yakūn,A,2026-02-19 20:40:31.084756+00
10,1,hy,լինել,null,linel,A,2026-02-19 20:40:31.084756+00
11,1,ast,ser,null,null,A,2026-02-19 20:40:31.084756+00
12,1,eu,izan,null,null,A,2026-02-19 20:40:31.084756+00
13,1,be,быць,null,byc,A,2026-02-19 20:40:31.084756+00
14,1,bn,হওয়া,null,hoya,A,2026-02-19 20:40:31.084756+00
15,1,bs,biti,null,null,A,2026-02-19 20:40:31.084756+00
16,1,br,bezañ,null,null,A,2026-02-19 20:40:31.084756+00
17,1,bg,съм,null,sǎm,A,2026-02-19 20:40:31.084756+00
18,1,my,ဖြစ်,null,hpyit,A,2026-02-19 20:40:31.084756+00
19,1,ca,ser,null,null,A,2026-02-19 20:40:31.084756+00
20,1,ceb,mahimó,null,null,A,2026-02-19 20:40:31.084756+00
21,1,co,esse,null,null,A,2026-02-19 20:40:31.084756+00
22,1,hr,biti,null,null,A,2026-02-19 20:40:31.084756+00
23,1,cs,být,null,null,A,2026-02-19 20:40:31.084756+00
24,1,da,være,null,null,A,2026-02-19 20:40:31.084756+00
25,1,nl,zijn,null,null,A,2026-02-19 20:40:31.084756+00
26,1,en,to be,null,null,A,2026-02-19 20:40:31.084756+00
27,1,eo,esti,null,null,A,2026-02-19 20:40:31.084756+00
28,1,et,olema,null,null,A,2026-02-19 20:40:31.084756+00
29,1,fo,vera,null,null,A,2026-02-19 20:40:31.084756+00
30,1,fil,maging,null,null,A,2026-02-19 20:40:31.084756+00
31,1,fi,olla,null,null,A,2026-02-19 20:40:31.084756+00
32,1,fr,être,null,null,A,2026-02-19 20:40:31.084756+00
33,1,fy,wêze,null,null,A,2026-02-19 20:40:31.084756+00
34,1,gl,ser,null,null,A,2026-02-19 20:40:31.084756+00
35,1,ka,ყოფნა,null,qopna,A,2026-02-19 20:40:31.084756+00
36,1,de,sein,null,null,A,2026-02-19 20:40:31.084756+00
37,1,el,είμαι,null,eímai,A,2026-02-19 20:40:31.084756+00
38,1,gu,હોવું,null,hovũ,A,2026-02-19 20:40:31.084756+00
39,1,ht,se,null,null,A,2026-02-19 20:40:31.084756+00
40,1,ha,zama,null,null,A,2026-02-19 20:40:31.084756+00
41,1,he,להיות,null,lihyot,A,2026-02-19 20:40:31.084756+00
42,1,hi,होना,null,hona,A,2026-02-19 20:40:31.084756+00
43,1,hu,lenni,null,null,A,2026-02-19 20:40:31.084756+00
44,1,is,vera,null,null,A,2026-02-19 20:40:31.084756+00
45,1,ig,ịbụ,null,ịbụ,A,2026-02-19 20:40:31.084756+00
46,1,ilo,agbalin,null,null,A,2026-02-19 20:40:31.084756+00
47,1,id,menjadi,null,null,A,2026-02-19 20:40:31.084756+00
48,1,ga,beith,null,null,A,2026-02-19 20:40:31.084756+00
49,1,xh,ukuba,null,null,A,2026-02-19 20:40:31.084756+00
50,1,it,essere,null,null,A,2026-02-19 20:40:31.084756+00
51,1,ja,である,null,dearu,A,2026-02-19 20:40:31.084756+00
52,1,jv,dadi,null,null,A,2026-02-19 20:40:31.084756+00
53,1,kn,ಆಗು,null,āgu,A,2026-02-19 20:40:31.084756+00
54,1,kk,болу,null,bolu,A,2026-02-19 20:40:31.084756+00
55,1,km,ជា,null,chea,A,2026-02-19 20:40:31.084756+00
56,1,rw,kuba,null,null,A,2026-02-19 20:40:31.084756+00
57,1,rn,kuba,null,null,A,2026-02-19 20:40:31.084756+00
58,1,ko,있다,null,itda,A,2026-02-19 20:40:31.084756+00
59,1,ku,bûn,null,null,A,2026-02-19 20:40:31.084756+00
60,1,kmr,bûn,null,null,A,2026-02-19 20:40:31.084756+00
61,1,lo,ເປັນ,null,pen,A,2026-02-19 20:40:31.084756+00
62,1,la,esse,null,null,A,2026-02-19 20:40:31.084756+00
63,1,lv,būt,null,null,A,2026-02-19 20:40:31.084756+00
64,1,lt,būti,null,null,A,2026-02-19 20:40:31.084756+00
65,1,lb,sinn,null,null,A,2026-02-19 20:40:31.084756+00
66,1,mk,биде,null,bide,A,2026-02-19 20:40:31.084756+00
67,1,mg,ho,null,null,A,2026-02-19 20:40:31.084756+00
68,1,ms,menjadi,null,null,A,2026-02-19 20:40:31.084756+00
69,1,ml,ആകുക,null,ākuka,A,2026-02-19 20:40:31.084756+00
70,1,mt,jkun,null,null,A,2026-02-19 20:40:31.084756+00
71,1,mi,hei,null,null,A,2026-02-19 20:40:31.084756+00
72,1,mn,байх,null,baih,A,2026-02-19 20:40:31.084756+00
73,1,sr-ME,biti,null,null,A,2026-02-19 20:40:31.084756+00
74,1,ne,हुनु,null,hunu,A,2026-02-19 20:40:31.084756+00
75,1,nb-NO,være,null,null,A,2026-02-19 20:40:31.084756+00
76,1,nn-NO,vere,null,null,A,2026-02-19 20:40:31.084756+00
77,1,oc,èsser,null,null,A,2026-02-19 20:40:31.084756+00
