sentence_id,concept_id,lang_code,sentence,pronunciation,level,created_at
1,1,af,Kom ons probeer iets,null,A,2026-02-19 20:51:09.706+00
2,1,sq,Të provojmë diçka,null,A,2026-02-19 20:51:09.706+00
3,1,am,እስቲ አንድ ነገር እንሞክር,ĭsti andi neger inmoqir,A,2026-02-19 20:51:09.706+00
4,1,ar-EG,يلا نجرب حاجة,yalla negrib haga,A,2026-02-19 20:51:09.706+00
5,1,ar-AE,يلا نجرب شي,yalla njarrib shay,A,2026-02-19 20:51:09.706+00
6,1,ar-IQ,يلا نجرب شي,yalla njarrib shay,A,2026-02-19 20:51:09.706+00
7,1,ar-LB,يلا نجرب شي,yalla njarreb shi,A,2026-02-19 20:51:09.706+00
8,1,ar-MA,يلا نجرب شي حاجة,yalla njarrbu shi haja,A,2026-02-19 20:51:09.706+00
9,1,ar,هيا نجرب شيئًا,hayya nujarib shay’an,A,2026-02-19 20:51:09.706+00
10,1,hy,Եկեք մի բան փորձենք,ek’ek’ mi ban p’ordzenk’,A,2026-02-19 20:51:09.706+00
11,1,ast,Vamos probar daqué,null,A,2026-02-19 20:51:09.706+00
12,1,eu,Saiatu dezagun zerbait,null,A,2026-02-19 20:51:09.706+00
13,1,be,Давайце паспрабуем нешта,davaitse pasprabuyem neshta,A,2026-02-19 20:51:09.706+00
14,1,bn,চল কিছু চেষ্টা করি,chôl kichu cheshta kori,A,2026-02-19 20:51:09.706+00
15,1,bs,Hajde da probamo nešto,null,A,2026-02-19 20:51:09.706+00
16,1,br,Deomp da esaeañ un dra bennak,null,A,2026-02-19 20:51:09.706+00
17,1,bg,Нека опитаме нещо,neka opitame neshto,A,2026-02-19 20:51:09.706+00
18,1,my,တစ်ခုခု စမ်းကြည့်ရအောင်,tat-ku-ku san-kyei ya-aung,A,2026-02-19 20:51:09.706+00
19,1,ca,Provem alguna cosa,null,A,2026-02-19 20:51:09.706+00
20,1,ceb,Atong sulayan ang usa ka butang,null,A,2026-02-19 20:51:09.706+00
21,1,co,Pruvemu qualcosa,null,A,2026-02-19 20:51:09.706+00
22,1,hr,Hajdemo probati nešto,null,A,2026-02-19 20:51:09.706+00
23,1,cs,Zkusme něco,null,A,2026-02-19 20:51:09.706+00
24,1,da,Lad os prøve noget,null,A,2026-02-19 20:51:09.706+00
25,1,nl,Laten we iets proberen,null,A,2026-02-19 20:51:09.706+00
26,1,en,Let’s try something,null,A,2026-02-19 20:51:09.706+00
27,1,eo,Ni provu ion,null,A,2026-02-19 20:51:09.706+00
28,1,et,Proovime midagi,null,A,2026-02-19 20:51:09.706+00
29,1,fo,Lat okkum royna okkurt,null,A,2026-02-19 20:51:09.706+00
30,1,fil,Subukan natin ang isang bagay,null,A,2026-02-19 20:51:09.706+00
31,1,fi,Kokeillaan jotain,null,A,2026-02-19 20:51:09.706+00
32,1,fr,Essayons quelque chose,null,A,2026-02-19 20:51:09.706+00
33,1,fy,Litte wy wat besykje,null,A,2026-02-19 20:51:09.706+00
34,1,gl,Probemos algo,null,A,2026-02-19 20:51:09.706+00
35,1,ka,მოდი რაღაც ვცადოთ,modi raghats vts’adot,A,2026-02-19 20:51:09.706+00
36,1,de,Lass uns etwas ausprobieren,null,A,2026-02-19 20:51:09.706+00
37,1,el,Ας δοκιμάσουμε κάτι,as dokimásoume káti,A,2026-02-19 20:51:09.706+00
38,1,gu,ચાલો કંઈક અજમાવીએ,chalo kaik ajmaaviye,A,2026-02-19 20:51:09.706+00
39,1,ht,Ann eseye yon bagay,null,A,2026-02-19 20:51:09.706+00
40,1,ha,Muje mu gwada wani abu,null,A,2026-02-19 20:51:09.706+00
41,1,he,בוא ננסה משהו,bo n’nase mashéhu,A,2026-02-19 20:51:09.706+00
42,1,hi,चलो कुछ आज़माएँ,chalo kuch aazmaayen,A,2026-02-19 20:51:09.706+00
43,1,hu,Próbáljunk ki valamit,null,A,2026-02-19 20:51:09.706+00
44,1,is,Prófum eitthvað,null,A,2026-02-19 20:51:09.706+00
45,1,ig,Ka anyị nwalee ihe,null,A,2026-02-19 20:51:09.706+00
46,1,ilo,Subeken tayo iti maysa a banag,null,A,2026-02-19 20:51:09.706+00
47,1,id,Mari coba sesuatu,null,A,2026-02-19 20:51:09.706+00
48,1,ga,Bainimis triail as rud éigin,null,A,2026-02-19 20:51:09.706+00
49,1,xh,Masilinge into,null,A,2026-02-19 20:51:09.706+00
50,1,it,Proviamo qualcosa,null,A,2026-02-19 20:51:09.706+00
51,1,ja,何か試してみよう,nani ka tameshite miyou,A,2026-02-19 20:51:09.706+00
52,1,jv,Ayo nyoba soko siji,null,A,2026-02-19 20:51:09.706+00
53,1,kn,ಏನಾದರೂ ಪ್ರಯತ್ನಿಸೋಣ,enādaru prayatnisōṇa,A,2026-02-19 20:51:09.706+00
54,1,kk,Бір нәрсе байқап көрейік,bir nárse baýqap kóreýik,A,2026-02-19 20:51:09.706+00
55,1,km,តោះសាកល្បងអ្វីមួយ,taoh saklbang avei muoy,A,2026-02-19 20:51:09.706+00
56,1,rw,Reka tugerageze ikintu kimwe,null,A,2026-02-19 20:51:09.706+00
57,1,rn,Reka tugerageze ikintu,null,A,2026-02-19 20:51:09.706+00
58,1,ko,뭔가 해보자,mwonga haeboja,A,2026-02-19 20:51:09.706+00
59,1,ku,Ka em tiştek biceribînin,null,A,2026-02-19 20:51:09.706+00
60,1,kmr,Ka em tiştek biceribînin,null,A,2026-02-19 20:51:09.706+00
61,1,lo,ລອງທົດລອງຫຍັງສັກຢ່າງ,long thot-long nyang sak yang,A,2026-02-19 20:51:09.706+00
62,1,la,Conemur aliquid,null,A,2026-02-19 20:51:09.706+00
63,1,lv,Pamēģināsim kaut ko,null,A,2026-02-19 20:51:09.706+00
64,1,lt,Pabandykime ką nors,null,A,2026-02-19 20:51:09.706+00
65,1,lb,Loosst eis eppes probéieren,null,A,2026-02-19 20:51:09.706+00
66,1,mk,Ајде да пробаме нешто,ajde da probame neshto,A,2026-02-19 20:51:09.706+00
67,1,mg,Andao andramo zavatra iray,null,A,2026-02-19 20:51:09.706+00
